"run","all_cause_isolation","susceptibility","handHygieneIntervention","transferFractionRandom","importationSurge","isolateOnSuspicion","decayRate","extra_samples","randomSeed","ppeIsolationAdherenceProb","terminalRoomCleaning","output_event_file","scenario","surfaceTransferFraction","postVisitCleaning","roomCleaningEfficacy","universalPpe","surveillanceSensitivity","surveillance","ppeEfficacy","surveillanceSpecificity","decayRandom"
577,0.2,0.0045,0.0,1,0.0,0,0.25458995485678315,576,-801830292,0.6,0.8,"false",0,0.8829145622439682,0,0.5,"false",0.95,"false",0.9,0.7,1
593,0.2,0.0045,0.0,1,0.0,0,0.5918308843392879,592,-801573644,0.6,0.8,"false",0,0.26940517663024366,0,0.5,"false",0.95,"false",0.9,0.7,1
609,0.2,0.0045,0.0,1,0.0,0,0.08266647346317768,608,-801410088,0.6,0.8,"false",0,0.010769267566502094,0,0.5,"false",0.95,"false",0.9,0.7,1
625,0.2,0.0045,0.0,1,0.0,0,0.19232583907432854,624,-801274710,0.6,0.8,"false",0,0.304719451116398,0,0.5,"false",0.95,"false",0.9,0.7,1
641,0.2,0.0045,0.0,1,0.0,0,0.10477118147537112,640,-801053347,0.6,0.8,"false",0,0.8732280237600207,0,0.5,"false",0.95,"false",0.9,0.7,1
657,0.2,0.0045,0.0,1,0.0,0,0.4963891110382974,656,-800782679,0.6,0.8,"false",0,0.1408606949262321,0,0.5,"false",0.95,"false",0.9,0.7,1
673,0.2,0.0045,0.0,1,0.0,0,0.15246019838377833,672,-800647479,0.6,0.8,"false",0,0.7024074995424598,0,0.5,"false",0.95,"false",0.9,0.7,1
689,0.2,0.0045,0.0,1,0.0,0,0.02338716620579362,688,-800393597,0.6,0.8,"false",0,0.13704501395113766,0,0.5,"false",0.95,"false",0.9,0.7,1
705,0.2,0.0045,0.0,1,0.0,0,0.5350547682028264,704,-800198310,0.6,0.8,"false",0,0.09671093593351543,0,0.5,"false",0.95,"false",0.9,0.7,1
721,0.2,0.0045,0.0,1,0.0,0,0.714967934647575,720,-800059946,0.6,0.8,"false",0,0.8625445263460279,0,0.5,"false",0.95,"false",0.9,0.7,1
737,0.2,0.0045,0.0,1,0.0,0,0.30332568287849426,736,-799873680,0.6,0.8,"false",0,0.6868424685671926,0,0.5,"false",0.95,"false",0.9,0.7,1
753,0.2,0.0045,0.0,1,0.0,0,0.8064905777573586,752,-799621027,0.6,0.8,"false",0,0.6624406662303954,0,0.5,"false",0.95,"false",0.9,0.7,1
769,0.2,0.0045,0.0,1,0.0,0,0.0886558536440134,768,-799431887,0.6,0.8,"false",0,0.0158872758038342,0,0.5,"false",0.95,"false",0.9,0.7,1
785,0.2,0.0045,0.0,1,0.0,0,0.2886420472059399,784,-799298519,0.6,0.8,"false",0,0.766117888269946,0,0.5,"false",0.95,"false",0.9,0.7,1
801,0.2,0.0045,0.0,1,0.0,0,0.22780174855142832,800,-799059034,0.6,0.8,"false",0,0.2602105289697647,0,0.5,"false",0.95,"false",0.9,0.7,1
